	r	theta 	V
0	3.0	0.0	0.0
1	3.0	0.06283185307179587	0.12533323356430426
2	3.0	0.12566370614359174	0.2486898871648548
3	3.0	0.1884955592153876	0.368124552684678
4	3.0	0.25132741228718347	0.4817536741017153
5	3.0	0.3141592653589793	0.5877852522924731
6	3.0	0.3769911184307752	0.6845471059286887
7	3.0	0.4398229715025711	0.7705132427757893
8	3.0	0.5026548245743669	0.8443279255020151
9	3.0	0.5654866776461628	0.9048270524660196
10	3.0	0.6283185307179586	0.9510565162951535
11	3.0	0.6911503837897546	0.9822872507286887
12	3.0	0.7539822368615504	0.9980267284282716
13	3.0	0.8168140899333463	0.9980267284282716
14	3.0	0.8796459430051422	0.9822872507286886
15	3.0	0.942477796076938	0.9510565162951535
16	3.0	1.0053096491487339	0.9048270524660195
17	3.0	1.0681415022205298	0.844327925502015
18	3.0	1.1309733552923256	0.7705132427757893
19	3.0	1.1938052083641215	0.6845471059286885
20	3.0	1.2566370614359172	0.5877852522924732
21	3.0	1.3194689145077132	0.4817536741017152
22	3.0	1.3823007675795091	0.36812455268467775
23	3.0	1.4451326206513049	0.24868988716485482
24	3.0	1.5079644737231008	0.1253332335643041
25	3.0	1.5707963267948968	-3.216245299353273e-16
26	3.0	1.6336281798666925	-0.12533323356430429
27	3.0	1.6964600329384885	-0.24868988716485502
28	3.0	1.7592918860102844	-0.3681245526846783
29	3.0	1.8221237390820801	-0.4817536741017154
30	3.0	1.884955592153876	-0.5877852522924734
31	3.0	1.9477874452256718	-0.6845471059286887
32	3.0	2.0106192982974678	-0.7705132427757894
33	3.0	2.0734511513692637	-0.8443279255020153
34	3.0	2.1362830044410597	-0.9048270524660198
35	3.0	2.199114857512855	-0.9510565162951535
36	3.0	2.261946710584651	-0.9822872507286887
37	3.0	2.324778563656447	-0.9980267284282716
38	3.0	2.387610416728243	-0.9980267284282716
39	3.0	2.450442269800039	-0.9822872507286886
40	3.0	2.5132741228718345	-0.9510565162951536
41	3.0	2.5761059759436304	-0.9048270524660196
42	3.0	2.6389378290154264	-0.844327925502015
43	3.0	2.7017696820872223	-0.770513242775789
44	3.0	2.7646015351590183	-0.6845471059286883
45	3.0	2.8274333882308142	-0.5877852522924726
46	3.0	2.8902652413026098	-0.4817536741017153
47	3.0	2.9530970943744057	-0.36812455268467786
48	3.0	3.0159289474462017	-0.2486898871648545
49	3.0	3.0787608005179976	-0.1253332335643038
50	3.0	3.1415926535897936	6.432490598706546e-16
51	3.0	3.204424506661589	0.12533323356430418
52	3.0	3.267256359733385	0.24868988716485488
53	3.0	3.330088212805181	0.3681245526846782
54	3.0	3.392920065876977	0.48175367410171566
55	3.0	3.455751918948773	0.5877852522924736
56	3.0	3.518583772020569	0.6845471059286893
57	3.0	3.5814156250923643	0.7705132427757893
58	3.0	3.6442474781641603	0.8443279255020152
59	3.0	3.7070793312359562	0.9048270524660197
60	3.0	3.769911184307752	0.9510565162951538
61	3.0	3.832743037379548	0.9822872507286888
62	3.0	3.8955748904513436	0.9980267284282716
63	3.0	3.9584067435231396	0.9980267284282716
64	3.0	4.0212385965949355	0.9822872507286886
65	3.0	4.084070449666731	0.9510565162951536
66	3.0	4.1469023027385274	0.9048270524660192
67	3.0	4.209734155810323	0.8443279255020151
68	3.0	4.272566008882119	0.7705132427757886
69	3.0	4.335397861953915	0.6845471059286884
70	3.0	4.39822971502571	0.5877852522924734
71	3.0	4.461061568097507	0.48175367410171466
72	3.0	4.523893421169302	0.368124552684678
73	3.0	4.586725274241099	0.24868988716485377
74	3.0	4.649557127312894	0.1253332335643039
75	3.0	4.71238898038469	3.6739403974420594e-16
76	3.0	4.775220833456486	-0.12533323356430492
77	3.0	4.838052686528282	-0.24868988716485477
78	3.0	4.900884539600078	-0.3681245526846789
79	3.0	4.9637163926718735	-0.48175367410171555
80	3.0	5.026548245743669	-0.5877852522924728
81	3.0	5.089380098815465	-0.6845471059286892
82	3.0	5.152211951887261	-0.7705132427757891
83	3.0	5.215043804959057	-0.8443279255020156
84	3.0	5.277875658030853	-0.9048270524660197
85	3.0	5.340707511102649	-0.951056516295154
86	3.0	5.403539364174445	-0.9822872507286888
87	3.0	5.46637121724624	-0.9980267284282716
88	3.0	5.529203070318037	-0.9980267284282714
89	3.0	5.592034923389832	-0.9822872507286886
90	3.0	5.6548667764616285	-0.9510565162951532
91	3.0	5.717698629533424	-0.9048270524660192
92	3.0	5.7805304826052195	-0.8443279255020152
93	3.0	5.843362335677016	-0.7705132427757886
94	3.0	5.906194188748811	-0.6845471059286885
95	3.0	5.969026041820608	-0.587785252292472
96	3.0	6.031857894892403	-0.48175367410171477
97	3.0	6.094689747964199	-0.3681245526846781
98	3.0	6.157521601035995	-0.24868988716485388
99	3.0	6.220353454107791	-0.125333233564304
100	3.05	0.0	0.0014172841945528601
101	3.05	0.06283185307179587	0.12266618556579138
102	3.05	0.12566370614359174	0.2420365628465384
103	3.05	0.1884955592153876	0.35764992042005433
104	3.05	0.25132741228718347	0.4676865948562635
105	3.05	0.3141592653589793	0.5704141769930338
106	3.05	0.3769911184307752	0.6642145720723311
107	3.05	0.4398229715025711	0.7476093060949278
108	3.05	0.5026548245743669	0.8192827204234516
109	3.05	0.5654866776461628	0.8781027317539463
110	3.05	0.6283185307179586	0.9231388670551312
111	3.05	0.6911503837897546	0.9536773097485481
112	3.05	0.7539822368615504	0.9692327129740254
113	3.05	0.8168140899333463	0.9695565499579845
114	3.05	0.8796459430051422	0.9546417856331043
115	3.05	0.942477796076938	0.9247236765658247
116	3.05	1.0053096491487339	0.8802765488183687
117	3.05	1.0681415022205298	0.8220064757824675
118	3.05	1.1309733552923256	0.7508398858721005
119	3.05	1.1938052083641215	0.6679082702070056
120	3.05	1.2566370614359172	0.574529318621217
121	3.05	1.3194689145077132	0.472184963013917
122	3.05	1.3823007675795091	0.362496918489374
123	3.05	1.4451326206513049	0.2472003561278644
124	3.05	1.5079644737231008	0.1281163023066629
